Revisi:,,,,,,,,,,,
Atribut:,,,,,,,,,,,
Alamat,Variabel,Ket. Lojik nol,Ket. Lojik Satu,Arsip,Arsip Aktif,Alarm,Alarm Aktif,Kelompok,Stasiun,,
1147,YK-W71-RTE-DO,,,,,,,,YK,40,10
1148,YK-W71-RRE-DO,,,,,,,,YK,40,11
1149,YK-W81B-BE-DO,,,,,,,,YK,40,12
1150,YK-W81B-LE-DO,,,,,,,,YK,40,13
1151,YK-W81B-NWE-DO,,,,,,,,YK,40,14
1152,YK-W81B-NWTE-DO,,,,,,,,YK,40,15
1153,YK-W81B-NTE-DO,,,,,,,,YK,41,0
1154,YK-W81B-NRE-DO,,,,,,,,YK,41,1
1155,YK-W81B-RWE-DO,,,,,,,,YK,41,2
1156,YK-W81B-RWTE-DO,,,,,,,,YK,41,3
1157,YK-W81B-RTE-DO,,,,,,,,YK,41,4
1158,YK-W81B-RRE-DO,,,,,,,,YK,41,5
1159,YK-W101-BE-DO,,,,,,,,YK,41,6
1160,YK-W101-LE-DO,,,,,,,,YK,41,7
1161,YK-W101-NWE-DO,,,,,,,,YK,41,8
1162,YK-W101-NWTE-DO,,,,,,,,YK,41,9
1163,YK-W101-NTE-DO,,,,,,,,YK,41,10
1164,YK-W101-NRE-DO,,,,,,,,YK,41,11
1165,YK-W101-RWE-DO,,,,,,,,YK,41,12
1166,YK-W101-RWTE-DO,,,,,,,,YK,41,13
1167,YK-W101-RTE-DO,,,,,,,,YK,41,14
1168,YK-W101-RRE-DO,,,,,,,,YK,41,15
1169,YK-W13A-BE-DO,,,,,,,,YK,42,0
1170,YK-W13A-LE-DO,,,,,,,,YK,42,1
1171,YK-W13A-NWE-DO,,,,,,,,YK,42,2
1172,YK-W13A-NWTE-DO,,,,,,,,YK,42,3
1173,YK-W13A-NTE-DO,,,,,,,,YK,42,4
1174,YK-W13A-NRE-DO,,,,,,,,YK,42,5
1175,YK-W13A-RWE-DO,,,,,,,,YK,42,6
1176,YK-W13A-RWTE-DO,,,,,,,,YK,42,7
1177,YK-W13A-RTE-DO,,,,,,,,YK,42,8
1178,YK-W13A-RRE-DO,,,,,,,,YK,42,9
1179,YK-W23B-BE-DO,,,,,,,,YK,42,10
1180,YK-W23B-LE-DO,,,,,,,,YK,42,11
1181,YK-W23B-NWE-DO,,,,,,,,YK,42,12
1182,YK-W23B-NWTE-DO,,,,,,,,YK,42,13
1183,YK-W23B-NTE-DO,,,,,,,,YK,42,14
1184,YK-W23B-NRE-DO,,,,,,,,YK,42,15
1185,YK-W23B-RWE-DO,,,,,,,,YK,43,0
1186,YK-W23B-RWTE-DO,,,,,,,,YK,43,1
1187,YK-W23B-RTE-DO,,,,,,,,YK,43,2
1188,YK-W23B-RRE-DO,,,,,,,,YK,43,3
1189,YK-W13B-BE-DO,,,,,,,,YK,43,4
1190,YK-W13B-LE-DO,,,,,,,,YK,43,5
1191,YK-W13B-NWE-DO,,,,,,,,YK,43,6
1192,YK-W13B-NWTE-DO,,,,,,,,YK,43,7
1193,YK-W13B-NTE-DO,,,,,,,,YK,43,8
1194,YK-W13B-NRE-DO,,,,,,,,YK,43,9
1195,YK-W13B-RWE-DO,,,,,,,,YK,43,10
1196,YK-W13B-RWTE-DO,,,,,,,,YK,43,11
1197,YK-W13B-RTE-DO,,,,,,,,YK,43,12
1198,YK-W13B-RRE-DO,,,,,,,,YK,43,13
1199,YK-W53B-BE-DO,,,,,,,,YK,43,14
1200,YK-W53B-LE-DO,,,,,,,,YK,43,15
1201,YK-W53B-NWE-DO,,,,,,,,YK,44,0
1202,YK-W53B-NWTE-DO,,,,,,,,YK,44,1
1203,YK-W53B-NTE-DO,,,,,,,,YK,44,2
1204,YK-W53B-NRE-DO,,,,,,,,YK,44,3
1205,YK-W53B-RWE-DO,,,,,,,,YK,44,4
1206,YK-W53B-RWTE-DO,,,,,,,,YK,44,5
1207,YK-W53B-RTE-DO,,,,,,,,YK,44,6
1208,YK-W53B-RRE-DO,,,,,,,,YK,44,7
1209,YK-W13C-BE-DO,,,,,,,,YK,44,8
1210,YK-W13C-LE-DO,,,,,,,,YK,44,9
1211,YK-W13C-NWE-DO,,,,,,,,YK,44,10
1212,YK-W13C-NWTE-DO,,,,,,,,YK,44,11
1213,YK-W13C-NTE-DO,,,,,,,,YK,44,12
1214,YK-W13C-NRE-DO,,,,,,,,YK,44,13
1215,YK-W13C-RWE-DO,,,,,,,,YK,44,14
1216,YK-W13C-RWTE-DO,,,,,,,,YK,44,15
1217,YK-W13C-RTE-DO,,,,,,,,YK,45,0
1218,YK-W13C-RRE-DO,,,,,,,,YK,45,1
